idnota,fk_idalumno_nota,fk_idmateriacurso_nota,nota1_nota,nota2_nota,nota3_nota,notadic_nota,notafeb_nota,notadef_nota,obs_nota,createdAt,updatedAt,ciclo_lectivo_nota
49,49,2,NULL,NULL,NULL,NULL,NULL,NULL,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,2023-10-13,,2023
50,50,2,NULL,NULL,NULL,NULL,NULL,NULL,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,2023-12-29,,2023
51,51,2,NULL,NULL,NULL,NULL,NULL,NULL,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,2023-10-15,,2023
52,52,2,NULL,NULL,NULL,NULL,NULL,NULL,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,2023-05-21,,2023
53,53,2,NULL,NULL,NULL,NULL,NULL,NULL,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,2023-01-14,,2023
54,54,2,NULL,NULL,NULL,NULL,NULL,NULL,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,2023-06-29,,2023
55,55,2,NULL,NULL,NULL,NULL,NULL,NULL,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,2023-09-16,,2023
56,56,2,NULL,NULL,NULL,NULL,NULL,NULL,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,2023-07-22,,2023
57,57,2,NULL,NULL,NULL,NULL,NULL,NULL,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,2023-10-17,,2023
58,58,2,NULL,NULL,NULL,NULL,NULL,NULL,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,2023-09-24,,2023
59,59,2,NULL,NULL,NULL,NULL,NULL,NULL,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,2023-02-16,,2023
60,60,2,NULL,NULL,NULL,NULL,NULL,NULL,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,2023-06-30,,2023
61,61,3,NULL,NULL,NULL,NULL,NULL,NULL,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,2023-08-10,,2023
62,62,3,NULL,NULL,NULL,NULL,NULL,NULL,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,2023-01-10,,2023
63,63,3,NULL,NULL,NULL,NULL,NULL,NULL,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,2023-01-24,,2023
64,64,3,NULL,NULL,NULL,NULL,NULL,NULL,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,2023-06-12,,2023
65,65,3,NULL,NULL,NULL,NULL,NULL,NULL,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,2023-04-19,,2023
66,66,3,NULL,NULL,NULL,NULL,NULL,NULL,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,2023-02-26,,2023
67,67,3,NULL,NULL,NULL,NULL,NULL,NULL,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,2023-08-07,,2023
68,68,3,NULL,NULL,NULL,NULL,NULL,NULL,morbi quis tortor id nulla ultrices aliquet maecenas leo odio,2023-05-17,,2023
69,69,3,NULL,NULL,NULL,NULL,NULL,NULL,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,2023-10-08,,2023
70,70,3,NULL,NULL,NULL,NULL,NULL,NULL,in ante vestibulum ante ipsum primis in faucibus orci luctus et,2023-01-19,,2023
71,71,3,NULL,NULL,NULL,NULL,NULL,NULL,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,2023-05-14,,2023
72,72,3,NULL,NULL,NULL,NULL,NULL,NULL,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,2023-06-06,,2023
73,73,3,NULL,NULL,NULL,NULL,NULL,NULL,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,2023-09-17,,2023
74,74,3,NULL,NULL,NULL,NULL,NULL,NULL,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,2023-05-08,,2023
75,75,3,NULL,NULL,NULL,NULL,NULL,NULL,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,2023-07-05,,2023
76,76,3,NULL,NULL,NULL,NULL,NULL,NULL,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,2023-09-24,,2023
77,77,3,NULL,NULL,NULL,NULL,NULL,NULL,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,2023-03-01,,2023
78,78,3,NULL,NULL,NULL,NULL,NULL,NULL,primis in faucibus orci luctus et ultrices posuere cubilia curae,2023-08-07,,2023
79,79,3,NULL,NULL,NULL,NULL,NULL,NULL,justo eu massa donec dapibus duis at velit eu est,2023-12-15,,2023
80,80,3,NULL,NULL,NULL,NULL,NULL,NULL,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,2023-07-26,,2023
81,81,3,NULL,NULL,NULL,NULL,NULL,NULL,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,2023-03-19,,2023
82,82,3,NULL,NULL,NULL,NULL,NULL,NULL,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,2023-03-01,,2023
83,83,3,NULL,NULL,NULL,NULL,NULL,NULL,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,2023-04-09,,2023
84,84,3,NULL,NULL,NULL,NULL,NULL,NULL,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,2023-04-10,,2023
85,85,3,NULL,NULL,NULL,NULL,NULL,NULL,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,2023-06-08,,2023
86,86,3,NULL,NULL,NULL,NULL,NULL,NULL,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,2023-01-23,,2023
87,87,3,NULL,NULL,NULL,NULL,NULL,NULL,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,2023-10-26,,2023
88,88,3,NULL,NULL,NULL,NULL,NULL,NULL,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,2023-01-15,,2023
89,89,3,NULL,NULL,NULL,NULL,NULL,NULL,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,2023-06-24,,2023
90,90,3,NULL,NULL,NULL,NULL,NULL,NULL,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2023-11-02,,2023
91,91,4,NULL,NULL,NULL,NULL,NULL,NULL,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,2023-06-16,,2023
92,92,4,NULL,NULL,NULL,NULL,NULL,NULL,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2023-06-28,,2023
93,93,4,NULL,NULL,NULL,NULL,NULL,NULL,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,2023-01-15,,2023
94,94,4,NULL,NULL,NULL,NULL,NULL,NULL,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,2023-06-27,,2023
95,95,4,NULL,NULL,NULL,NULL,NULL,NULL,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,2023-08-12,,2023
96,96,4,NULL,NULL,NULL,NULL,NULL,NULL,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,2023-05-12,,2023
97,97,4,NULL,NULL,NULL,NULL,NULL,NULL,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,2023-11-27,,2023
98,98,4,NULL,NULL,NULL,NULL,NULL,NULL,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,2023-10-01,,2023
99,99,4,NULL,NULL,NULL,NULL,NULL,NULL,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,2023-11-06,,2023
100,100,4,NULL,NULL,NULL,NULL,NULL,NULL,lobortis ligula sit amet eleifend pede libero quis orci nullam,2023-12-19,,2023
101,101,4,NULL,NULL,NULL,NULL,NULL,NULL,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,2023-05-21,,2023
102,102,4,NULL,NULL,NULL,NULL,NULL,NULL,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,2023-11-09,,2023
103,103,4,NULL,NULL,NULL,NULL,NULL,NULL,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,2023-10-03,,2023
104,104,4,NULL,NULL,NULL,NULL,NULL,NULL,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,2023-12-08,,2023
105,105,4,NULL,NULL,NULL,NULL,NULL,NULL,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,2023-03-13,,2023
106,106,4,NULL,NULL,NULL,NULL,NULL,NULL,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,2023-04-20,,2023
107,107,4,NULL,NULL,NULL,NULL,NULL,NULL,rutrum ac lobortis vel dapibus at diam nam tristique tortor,2023-11-19,,2023
108,108,4,NULL,NULL,NULL,NULL,NULL,NULL,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,2023-03-09,,2023
109,109,4,NULL,NULL,NULL,NULL,NULL,NULL,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,2023-12-24,,2023
110,110,4,NULL,NULL,NULL,NULL,NULL,NULL,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,2023-06-11,,2023
111,111,4,NULL,NULL,NULL,NULL,NULL,NULL,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,2023-12-12,,2023
112,112,4,NULL,NULL,NULL,NULL,NULL,NULL,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,2023-05-23,,2023
113,113,4,NULL,NULL,NULL,NULL,NULL,NULL,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,2023-09-25,,2023
114,114,4,NULL,NULL,NULL,NULL,NULL,NULL,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,2023-07-24,,2023
115,115,4,NULL,NULL,NULL,NULL,NULL,NULL,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,2023-01-14,,2023
116,116,4,NULL,NULL,NULL,NULL,NULL,NULL,velit id pretium iaculis diam erat fermentum justo nec condimentum neque,2023-10-21,,2023
117,117,4,NULL,NULL,NULL,NULL,NULL,NULL,etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2023-09-08,,2023
118,118,4,NULL,NULL,NULL,NULL,NULL,NULL,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,2023-04-27,,2023
119,119,4,NULL,NULL,NULL,NULL,NULL,NULL,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,2023-10-19,,2023
120,120,4,NULL,NULL,NULL,NULL,NULL,NULL,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,2023-08-31,,2023
121,121,5,NULL,NULL,NULL,NULL,NULL,NULL,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,2023-03-24,,2023
122,122,5,NULL,NULL,NULL,NULL,NULL,NULL,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,2023-06-05,,2023
123,123,5,NULL,NULL,NULL,NULL,NULL,NULL,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,2023-01-23,,2023
124,124,5,NULL,NULL,NULL,NULL,NULL,NULL,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,2023-10-08,,2023
125,125,5,NULL,NULL,NULL,NULL,NULL,NULL,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,2023-12-16,,2023
126,126,5,NULL,NULL,NULL,NULL,NULL,NULL,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,2023-10-04,,2023
127,127,5,NULL,NULL,NULL,NULL,NULL,NULL,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2023-09-18,,2023
128,128,5,NULL,NULL,NULL,NULL,NULL,NULL,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,2023-11-28,,2023
129,129,5,NULL,NULL,NULL,NULL,NULL,NULL,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,2023-09-07,,2023
130,130,5,NULL,NULL,NULL,NULL,NULL,NULL,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,2023-09-10,,2023
131,131,5,NULL,NULL,NULL,NULL,NULL,NULL,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,2023-01-27,,2023
132,132,5,NULL,NULL,NULL,NULL,NULL,NULL,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,2023-05-20,,2023
133,133,5,NULL,NULL,NULL,NULL,NULL,NULL,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,2023-05-18,,2023
134,134,5,NULL,NULL,NULL,NULL,NULL,NULL,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,2023-03-09,,2023
135,135,5,NULL,NULL,NULL,NULL,NULL,NULL,sapien non mi integer ac neque duis bibendum morbi non quam nec,2023-01-29,,2023
136,136,5,NULL,NULL,NULL,NULL,NULL,NULL,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,2023-06-19,,2023
137,137,5,NULL,NULL,NULL,NULL,NULL,NULL,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,2023-01-18,,2023
138,138,5,NULL,NULL,NULL,NULL,NULL,NULL,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,2023-08-20,,2023
139,139,5,NULL,NULL,NULL,NULL,NULL,NULL,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,2023-05-17,,2023
140,140,5,NULL,NULL,NULL,NULL,NULL,NULL,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,2023-05-04,,2023
141,141,5,NULL,NULL,NULL,NULL,NULL,NULL,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,2023-07-25,,2023
142,142,5,NULL,NULL,NULL,NULL,NULL,NULL,proin at turpis a pede posuere nonummy integer non velit donec diam,2023-08-26,,2023
143,143,5,NULL,NULL,NULL,NULL,NULL,NULL,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,2023-11-14,,2023
144,144,5,NULL,NULL,NULL,NULL,NULL,NULL,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,2023-05-17,,2023
145,145,5,NULL,NULL,NULL,NULL,NULL,NULL,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,2023-11-08,,2023
146,146,5,NULL,NULL,NULL,NULL,NULL,NULL,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,2023-07-04,,2023
147,147,5,NULL,NULL,NULL,NULL,NULL,NULL,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,2023-02-13,,2023
148,148,5,NULL,NULL,NULL,NULL,NULL,NULL,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2023-04-16,,2023
149,149,5,NULL,NULL,NULL,NULL,NULL,NULL,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,2023-02-18,,2023
150,150,5,NULL,NULL,NULL,NULL,NULL,NULL,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,2023-09-02,,2023
151,151,6,NULL,NULL,NULL,NULL,NULL,NULL,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,2023-12-29,,2023
152,152,6,NULL,NULL,NULL,NULL,NULL,NULL,phasellus in felis donec semper sapien a libero nam dui proin leo odio,2023-07-13,,2023
153,153,6,NULL,NULL,NULL,NULL,NULL,NULL,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,2023-07-07,,2023
154,154,6,NULL,NULL,NULL,NULL,NULL,NULL,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,2023-02-17,,2023
155,155,6,NULL,NULL,NULL,NULL,NULL,NULL,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2023-01-06,,2023
156,156,6,NULL,NULL,NULL,NULL,NULL,NULL,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,2023-04-01,,2023
157,157,6,NULL,NULL,NULL,NULL,NULL,NULL,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,2023-11-20,2024-01-15,2023
158,158,6,NULL,NULL,NULL,NULL,NULL,NULL,sit amet eleifend pede libero quis orci nullam molestie nibh,2023-12-18,,2023
159,159,6,NULL,NULL,NULL,NULL,NULL,NULL,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,2023-05-15,,2023
160,160,6,NULL,NULL,NULL,NULL,NULL,NULL,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,2023-05-14,,2023
161,161,6,NULL,NULL,NULL,NULL,NULL,NULL,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,2023-12-08,,2023
162,162,6,NULL,NULL,NULL,NULL,NULL,NULL,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,2023-06-10,,2023
163,163,6,NULL,NULL,NULL,NULL,NULL,NULL,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,2023-02-13,,2023
164,164,6,NULL,NULL,NULL,NULL,NULL,NULL,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,2023-07-20,,2023
165,165,6,NULL,NULL,NULL,NULL,NULL,NULL,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,2023-11-04,,2023
166,166,6,NULL,NULL,NULL,NULL,NULL,NULL,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,2023-07-26,,2023
167,167,6,NULL,NULL,NULL,NULL,NULL,NULL,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,2023-09-03,,2023
